date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:32	65528/65528	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:28%20GMT	https://www.youtube.com/howyoutubeworks/our-commitments/promoting-digital-wellbeing/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/our-commitments/promoting-digital-wellbeing/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:33	66352/66352	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:27%20GMT	https://www.youtube.com/howyoutubeworks/our-commitments/sharing-revenue/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/our-commitments/sharing-revenue/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:36	68841/68841	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:33%20GMT	https://www.youtube.com/howyoutubeworks/product-features/search/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/product-features/search/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:36	81005/81005	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:32%20GMT	https://www.youtube.com/howyoutubeworks/our-commitments/covid-response/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/our-commitments/covid-response/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:39	94600/94600	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:33%20GMT	https://www.youtube.com/howyoutubeworks/product-features/news-information/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/product-features/news-information/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:40	68561/68561	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:33%20GMT	https://www.youtube.com/howyoutubeworks/product-features/recommendations/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/product-features/recommendations/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:41	79980/79980	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:37%20GMT	https://www.youtube.com/howyoutubeworks/product-features/live/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/product-features/live/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:41	80840/80840	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:36%20GMT	https://www.youtube.com/howyoutubeworks/product-features/monetization/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/product-features/monetization/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:41	69741/69741	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:39%20GMT	https://www.youtube.com/howyoutubeworks/user-settings/privacy/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/user-settings/privacy/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
21:21:41	64335/64335	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2014:21:41%20GMT	https://www.youtube.com/howyoutubeworks/user-settings/ad-settings/	C:/xampp/htdocs/TDS3/TDS3/www.youtube.com/howyoutubeworks/user-settings/ad-settings/index.html	(from https://www.youtube.com/howyoutubeworks/?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen)
